CUSTOMER_ID,FULL_NAME,COMPANY,CITY,STATE,COUNTRY,POSTAL_CODE,EMAIL,SUPPORT_REP_ID,SUPPORT_REP_NAME
32,Aaron Mitchell,,Winnipeg,MB,Canada,R3L 2B9,aaronmitchell@yahoo.ca,4,Margaret Park
33,Ellie Sullivan,,Yellowknife,NT,Canada,X1A 1N6,ellie.sullivan@shaw.ca,3,Jane Peacock
34,João Fernandes,,Lisbon,,Portugal,,jfernandes@yahoo.pt,4,Margaret Park
35,Madalena Sampaio,,Porto,,Portugal,,masampaio@sapo.pt,4,Margaret Park
36,Hannah Schneider,,Berlin,,Germany,10789,hannah.schneider@yahoo.de,5,Steve Johnson
37,Fynn Zimmermann,,Frankfurt,,Germany,60316,fzimmermann@yahoo.de,3,Jane Peacock
38,Niklas Schröder,,Berlin,,Germany,10779,nschroder@surfeu.de,3,Jane Peacock
39,Camille Bernard,,Paris,,France,75009,camille.bernard@yahoo.fr,4,Margaret Park
40,Dominique Lefebvre,,Paris,,France,75002,dominiquelefebvre@gmail.com,4,Margaret Park
41,Marc Dubois,,Lyon,,France,69002,marc.dubois@hotmail.com,5,Steve Johnson
42,Wyatt Girard,,Bordeaux,,France,33000,wyatt.girard@yahoo.fr,3,Jane Peacock
43,Isabelle Mercier,,Dijon,,France,21000,isabelle_mercier@apple.fr,3,Jane Peacock
44,Terhi Hämäläinen,,Helsinki,,Finland,00530,terhi.hamalainen@apple.fi,3,Jane Peacock
45,Ladislav Kovács,,Budapest,,Hungary,H-1073,ladislav_kovacs@apple.hu,3,Jane Peacock
46,Hugh O'Reilly,,Dublin,Dublin,Ireland,,hughoreilly@apple.ie,3,Jane Peacock
47,Lucas Mancini,,Rome,RM,Italy,00192,lucas.mancini@yahoo.it,5,Steve Johnson
48,Johannes Van der Berg,,Amsterdam,VV,Netherlands,1016,johavanderberg@yahoo.nl,5,Steve Johnson
49,Stanisław Wójcik,,Warsaw,,Poland,00-358,stanisław.wójcik@wp.pl,4,Margaret Park
50,Enrique Muñoz,,Madrid,,Spain,28015,enrique_munoz@yahoo.es,5,Steve Johnson
51,Joakim Johansson,,Stockholm,,Sweden,11230,joakim.johansson@yahoo.se,5,Steve Johnson
52,Emma Jones,,London,,United Kingdom,N1 5LH,emma_jones@hotmail.com,3,Jane Peacock
53,Phil Hughes,,London,,United Kingdom,SW1V 3EN,phil.hughes@gmail.com,3,Jane Peacock
54,Steve Murray,,Edinburgh ,,United Kingdom,EH4 1HH,steve.murray@yahoo.uk,5,Steve Johnson
55,Mark Taylor,,Sidney,NSW,Australia,2010,mark.taylor@yahoo.au,4,Margaret Park
56,Diego Gutiérrez,,Buenos Aires,,Argentina,1106,diego.gutierrez@yahoo.ar,4,Margaret Park
57,Luis Rojas,,Santiago,,Chile,,luisrojas@yahoo.cl,5,Steve Johnson
58,Manoj Pareek,,Delhi,,India,110017,manoj.pareek@rediff.com,3,Jane Peacock
59,Puja Srivastava,,Bangalore,,India,560001,puja_srivastava@yahoo.in,3,Jane Peacock
